Disaster Type,Date As Num,Cost,Disaster Name,Day,xPosition,,,,
,2017,,,42736,,,,Start of Line (x-value),50
tropical-cyclone,42974,125,Hurricane Harvey,238,636.85,,,End of Line (x-value),950
severe-storm,42895,2.5,Minnesota Hail Storm and Upper Midwest Severe Weather,159,442.05,,,,
severe-storm,42863,2.2,Colorado Hail Storm and Central Severe Weather,127,363.15,,,,
severe-storm,42820,2.1,South/Southeast Severe Weather,84,257.12,,,,
severe-storm,42800,2.1,Midwest Tornado Outbreak,64,207.81,,,,
severe-storm,42794,1.8,Central/Southeast Tornado Outbreak,58,193.01,,,,
flooding,42850,1.7,Missouri and Arkansas Flooding and Central Severe Weather,114,331.10,,,,
flooding,42774,1.5,California Flooding,38,143.70,,,,
severe-storm,42755,1.1,Southern Tornado Outbreak and Western Storms,19,96.85,,,,
,2016,,,42370,,,,,
flooding,42594,10.3,Louisiana Flooding,224,602.33,,,,
tropical-cyclone,42651,10.3,Hurricane Matthew,281,742.88,,,,
drought-wildfire,42370,3.6,West/Northeast/Southeast Drought,0,50.00,,,,
severe-storm,42470,3.6,North/Central Texas Hail Storm,100,296.58,,,,
flooding,42477,2.8,Houston Flooding,107,313.84,,,,
drought-wildfire,42522,2.5,Western/Southeast Wildfires,152,424.79,,,,
severe-storm,42486,2.5,South/Southeast Tornadoes,116,336.03,,,,
flooding,42437,2.4,Texas and Louisiana Flooding,67,215.21,,,,
severe-storm,42452,2.1,North Texas Hail Storm,82,252.19,,,,
severe-storm,42498,1.8,Plains Tornadoes and Central Severe Weather,128,365.62,,,,
severe-storm,42579,1.5,Rockies and Northeast Severe Weather,209,565.34,,,,
severe-storm,42446,1.2,Southern Severe Weather,76,237.40,,,,
severe-storm,42511,1.2,Rockies/Central Tornadoes and Severe Weather,141,397.67,,,,
severe-storm,42422,1.1,Southeast and Eastern Tornadoes,52,178.22,,,,
